2026-07-27 14:09:33,851 [INFO] Démarrage de la collecte Vigie TBM (intervalle: 60s)
2026-07-27 15:08:34,673 [INFO] OK - 1567 entités, 48598 observations mises à jour (feed ts=1785157704)
2026-07-27 15:09:34,559 [INFO] OK - 1560 entités, 48458 observations mises à jour (feed ts=1785157764)
2026-07-27 15:10:34,612 [INFO] OK - 1556 entités, 48361 observations mises à jour (feed ts=1785157824)
2026-07-27 15:11:34,553 [INFO] OK - 1551 entités, 48088 observations mises à jour (feed ts=1785157884)
2026-07-27 15:12:34,733 [INFO] OK - 1551 entités, 47952 observations mises à jour (feed ts=1785157944)
2026-07-27 15:13:34,633 [INFO] OK - 1545 entités, 47652 observations mises à jour (feed ts=1785158004)
2026-07-27 15:14:34,622 [INFO] OK - 1540 entités, 47567 observations mises à jour (feed ts=1785158064)
2026-07-27 15:15:34,835 [INFO] OK - 1539 entités, 47545 observations mises à jour (feed ts=1785158124)
2026-07-27 15:16:34,634 [INFO] OK - 1544 entités, 47527 observations mises à jour (feed ts=1785158184)
2026-07-27 15:17:34,814 [INFO] OK - 1542 entités, 47507 observations mises à jour (feed ts=1785158244)
2026-07-27 15:18:34,666 [INFO] OK - 1536 entités, 47233 observations mises à jour (feed ts=1785158304)
2026-07-27 15:19:34,615 [INFO] OK - 1545 entités, 47535 observations mises à jour (feed ts=1785158364)
2026-07-27 15:20:34,643 [INFO] OK - 1553 entités, 47670 observations mises à jour (feed ts=1785158424)
2026-07-27 15:21:34,637 [INFO] OK - 1556 entités, 47613 observations mises à jour (feed ts=1785158484)
2026-07-27 15:22:34,670 [INFO] OK - 1553 entités, 47530 observations mises à jour (feed ts=1785158544)
2026-07-27 15:23:34,601 [INFO] OK - 1553 entités, 47580 observations mises à jour (feed ts=1785158604)
2026-07-27 15:24:34,622 [INFO] OK - 1563 entités, 47414 observations mises à jour (feed ts=1785158664)
2026-07-27 15:25:34,687 [INFO] OK - 1561 entités, 47093 observations mises à jour (feed ts=1785158724)
2026-07-27 15:26:34,695 [INFO] OK - 1558 entités, 47000 observations mises à jour (feed ts=1785158784)
2026-07-27 15:27:34,630 [INFO] OK - 1557 entités, 47012 observations mises à jour (feed ts=1785158844)
2026-07-27 15:28:34,628 [INFO] OK - 1556 entités, 46974 observations mises à jour (feed ts=1785158904)
2026-07-27 15:29:34,689 [INFO] OK - 1548 entités, 46736 observations mises à jour (feed ts=1785158964)
2026-07-27 15:30:34,794 [INFO] OK - 1548 entités, 46644 observations mises à jour (feed ts=1785159024)
2026-07-27 15:31:34,626 [INFO] OK - 1547 entités, 46680 observations mises à jour (feed ts=1785159084)
2026-07-27 15:32:34,632 [INFO] OK - 1542 entités, 46593 observations mises à jour (feed ts=1785159144)
2026-07-27 15:33:34,658 [INFO] OK - 1539 entités, 46466 observations mises à jour (feed ts=1785159204)
2026-07-27 15:34:34,614 [INFO] OK - 1539 entités, 46486 observations mises à jour (feed ts=1785159264)
2026-07-27 15:35:34,658 [INFO] OK - 1538 entités, 46374 observations mises à jour (feed ts=1785159324)
2026-07-27 15:36:34,542 [INFO] OK - 1545 entités, 46534 observations mises à jour (feed ts=1785159384)
2026-07-27 15:37:34,523 [INFO] OK - 1544 entités, 46564 observations mises à jour (feed ts=1785159444)
2026-07-27 15:38:34,587 [INFO] OK - 1547 entités, 46534 observations mises à jour (feed ts=1785159504)
2026-07-27 15:39:34,579 [INFO] OK - 1542 entités, 46493 observations mises à jour (feed ts=1785159564)
2026-07-27 15:40:34,561 [INFO] OK - 1543 entités, 46458 observations mises à jour (feed ts=1785159624)
2026-07-27 15:41:34,610 [INFO] OK - 1539 entités, 46325 observations mises à jour (feed ts=1785159684)
2026-07-27 15:42:34,579 [INFO] OK - 1534 entités, 46283 observations mises à jour (feed ts=1785159744)
2026-07-27 15:43:34,527 [INFO] OK - 1534 entités, 46311 observations mises à jour (feed ts=1785159804)
2026-07-27 15:44:34,539 [INFO] OK - 1533 entités, 46268 observations mises à jour (feed ts=1785159864)
2026-07-27 15:45:34,547 [INFO] OK - 1530 entités, 46196 observations mises à jour (feed ts=1785159924)
2026-07-27 15:46:34,599 [INFO] OK - 1533 entités, 46245 observations mises à jour (feed ts=1785159984)
2026-07-27 15:47:34,554 [INFO] OK - 1533 entités, 46332 observations mises à jour (feed ts=1785160044)
2026-07-27 15:48:34,576 [INFO] OK - 1530 entités, 46171 observations mises à jour (feed ts=1785160104)
2026-07-27 15:49:34,584 [INFO] OK - 1525 entités, 46141 observations mises à jour (feed ts=1785160164)
2026-07-27 15:50:34,550 [INFO] OK - 1534 entités, 46207 observations mises à jour (feed ts=1785160224)
2026-07-27 15:51:34,598 [INFO] OK - 1545 entités, 46385 observations mises à jour (feed ts=1785160284)
2026-07-27 15:52:36,805 [INFO] OK - 1532 entités, 46059 observations mises à jour (feed ts=1785160344)
2026-07-27 15:53:34,532 [INFO] OK - 1521 entités, 46008 observations mises à jour (feed ts=1785160404)
2026-07-27 15:54:34,546 [INFO] OK - 1510 entités, 45655 observations mises à jour (feed ts=1785160464)
2026-07-27 15:55:34,559 [INFO] OK - 1507 entités, 45547 observations mises à jour (feed ts=1785160524)
2026-07-27 15:56:34,563 [INFO] OK - 1506 entités, 45451 observations mises à jour (feed ts=1785160584)
2026-07-27 15:57:34,568 [INFO] OK - 1496 entités, 45235 observations mises à jour (feed ts=1785160644)
2026-07-27 15:58:34,530 [INFO] OK - 1503 entités, 45127 observations mises à jour (feed ts=1785160704)
2026-07-27 15:59:34,613 [INFO] OK - 1499 entités, 45099 observations mises à jour (feed ts=1785160764)
2026-07-27 16:00:34,592 [INFO] OK - 1501 entités, 45142 observations mises à jour (feed ts=1785160824)
2026-07-27 16:01:34,543 [INFO] OK - 1501 entités, 45161 observations mises à jour (feed ts=1785160884)
2026-07-27 16:02:34,529 [INFO] OK - 1505 entités, 45289 observations mises à jour (feed ts=1785160944)
2026-07-27 16:03:34,546 [INFO] OK - 1499 entités, 45204 observations mises à jour (feed ts=1785161004)
2026-07-27 16:04:34,566 [INFO] OK - 1498 entités, 45214 observations mises à jour (feed ts=1785161064)
2026-07-27 16:05:34,535 [INFO] OK - 1496 entités, 45217 observations mises à jour (feed ts=1785161124)
2026-07-27 16:06:34,619 [INFO] OK - 1507 entités, 45277 observations mises à jour (feed ts=1785161184)
2026-07-27 16:07:34,809 [INFO] OK - 1516 entités, 45545 observations mises à jour (feed ts=1785161244)
2026-07-27 16:08:34,567 [INFO] OK - 1509 entités, 45532 observations mises à jour (feed ts=1785161304)
